word,pos,CEFR-J level,exact asset exists,already in curated dictionary,already found by open-world discovery
confuse,verb,A2,no,no,no
consider,verb,A2,no,no,no
consist,verb,A2,no,no,no
contact,verb,A2,no,no,no
continue,verb,A2,no,no,no
copy,verb,A2,yes,no,no
cost,verb,A2,no,no,no
count,verb,A2,yes,no,no
cover,verb,A2,yes,yes,no
create,verb,A2,no,no,no
criticize,verb,A2,no,no,no
cross,verb,A2,yes,no,no
cry,verb,A2,yes,no,no
decide,verb,A2,no,no,no
depend,verb,A2,no,no,no
destroy,verb,A2,no,no,no
develop,verb,A2,no,no,no
die,verb,A2,no,no,no
disagree,verb,A2,no,no,no
disappear,verb,A2,no,no,no
discover,verb,A2,no,no,no
disturb,verb,A2,no,no,no
divide,verb,A2,no,no,no
download,verb,A2,no,no,no
dream,verb,A2,no,no,no
dress,verb,A2,yes,yes,no
drive,verb,A2,yes,no,no
dry,verb,A2,yes,no,no
earn,verb,A2,no,no,no
email,verb,A2,no,no,no
encourage,verb,A2,no,no,no
end,verb,A2,no,no,no
enter,verb,A2,yes,no,no
establish,verb,A2,no,no,no
exist,verb,A2,no,no,no
expect,verb,A2,no,no,no
explain,verb,A2,no,no,no
explore,verb,A2,yes,no,no
face,verb,A2,yes,no,no
fail,verb,A2,no,no,no
fall,verb,A2,yes,no,no
figure,verb,A2,no,no,no
follow,verb,A2,yes,no,no
forbid,verb,A2,no,no,no
freeze,verb,A2,yes,no,no
frighten,verb,A2,no,no,no
function,verb,A2,no,no,no
gather,verb,A2,yes,no,no
graduate,verb,A2,no,no,no
hand,verb,A2,yes,no,no
harm,verb,A2,no,no,no
hate,verb,A2,no,no,no
head,verb,A2,yes,no,no
hit,verb,A2,yes,no,no
hold,verb,A2,yes,no,no
hug,verb,A2,no,yes,no
hurry,verb,A2,no,no,no
impress,verb,A2,no,no,no
improve,verb,A2,no,no,no
include,verb,A2,no,no,no
increase,verb,A2,no,no,no
indicate,verb,A2,no,no,no
injure,verb,A2,no,no,no
invade,verb,A2,no,no,no
invent,verb,A2,no,no,no
invite,verb,A2,yes,no,no
land,verb,A2,yes,no,no
lend,verb,A2,yes,no,no
license,verb,A2,no,no,no
lie,verb,A2,yes,no,no
lose,verb,A2,yes,no,no
manage,verb,A2,no,no,no
mark,verb,A2,yes,no,no
marry,verb,A2,no,no,no
matter,verb,A2,no,no,no
mind,verb,A2,no,no,no
mix,verb,A2,yes,no,no
move,verb,A2,no,no,no
need,verb,A2,no,no,no
offer,verb,A2,no,no,no
operate,verb,A2,no,no,no
oppose,verb,A2,no,no,no
order,verb,A2,yes,no,no
organize,verb,A2,no,no,no
pack,verb,A2,yes,no,no
park,verb,A2,yes,yes,no
pass,verb,A2,yes,no,no
perform,verb,A2,no,no,no
point,verb,A2,yes,no,no
pollute,verb,A2,no,no,no
post,verb,A2,no,no,no
pour,verb,A2,yes,no,no
predict,verb,A2,no,no,no
prefer,verb,A2,no,no,no
prepare,verb,A2,no,no,no
pretend,verb,A2,no,no,no
prevent,verb,A2,no,no,no
print,verb,A2,yes,no,no
produce,verb,A2,no,no,no
pronounce,verb,A2,no,no,no
provide,verb,A2,no,no,no
publish,verb,A2,no,no,no
pull,verb,A2,yes,no,no
pursue,verb,A2,no,no,no
quit,verb,A2,no,no,no
raise,verb,A2,yes,no,no
reach,verb,A2,yes,no,no
realize,verb,A2,no,no,no
receive,verb,A2,no,no,no
record,verb,A2,yes,no,no
recycle,verb,A2,yes,yes,no
refer,verb,A2,no,no,no
reflect,verb,A2,no,no,no
regret,verb,A2,no,no,no
relax,verb,A2,no,no,no
remain,verb,A2,no,no,no
remind,verb,A2,no,no,no
rent,verb,A2,no,no,no
repair,verb,A2,yes,no,no
replace,verb,A2,no,no,no
represent,verb,A2,no,no,no
retire,verb,A2,no,no,no
return,verb,A2,yes,yes,no
reveal,verb,A2,no,no,no
roast,verb,A2,yes,no,no
rob,verb,A2,no,no,no
ruin,verb,A2,no,no,no
satisfy,verb,A2,no,no,no
seek,verb,A2,yes,no,no
seem,verb,A2,no,no,no
send,verb,A2,yes,no,no
serve,verb,A2,yes,no,no
sew,verb,A2,yes,no,no
shine,verb,A2,yes,no,no
shoot,verb,A2,yes,no,no
shut,verb,A2,no,no,no
smoke,verb,A2,yes,yes,no
snow,verb,A2,yes,yes,no
sound,verb,A2,no,no,no
spell,verb,A2,no,no,no
spill,verb,A2,yes,no,no
splash,verb,A2,yes,no,no
stand,verb,A2,yes,no,no
steal,verb,A2,no,no,no
succeed,verb,A2,no,no,no
suggest,verb,A2,no,no,no
suit,verb,A2,no,no,no
surf,verb,A2,yes,no,no
survive,verb,A2,no,no,no
swallow,verb,A2,yes,no,no
sweat,verb,A2,no,no,no
telephone,verb,A2,yes,yes,no
terrify,verb,A2,no,no,no
text,verb,A2,no,no,no
throw,verb,A2,yes,no,no
tidy,verb,A2,yes,no,no
train,verb,A2,yes,yes,no
trust,verb,A2,no,no,no
try,verb,A2,no,no,no
understand,verb,A2,no,no,no
wander,verb,A2,no,no,no
weigh,verb,A2,yes,no,no
wish,verb,A2,yes,yes,no
wonder,verb,A2,no,no,no
worry,verb,A2,no,no,no
abandon,verb,B1,no,no,no
absorb,verb,B1,no,no,no
accompany,verb,B1,no,no,no
accomplish,verb,B1,no,no,no
account,verb,B1,no,no,no
accuse,verb,B1,no,no,no
accustom,verb,B1,no,no,no
acknowledge,verb,B1,no,no,no
acquire,verb,B1,no,no,no
act,verb,B1,yes,no,no
adapt,verb,B1,no,no,no
address,verb,B1,no,no,no
adopt,verb,B1,no,no,no
advance,verb,B1,no,no,no
advertise,verb,B1,no,no,no
affect,verb,B1,no,no,no
afford,verb,B1,no,no,no
aid,verb,B1,no,no,no
alarm,verb,B1,yes,yes,no
analyze,verb,B1,no,no,no
announce,verb,B1,no,no,no
applaud,verb,B1,no,no,no
appoint,verb,B1,no,no,no
approve,verb,B1,no,no,no
arise,verb,B1,no,no,no
arm,verb,B1,yes,no,no
arrange,verb,B1,no,no,no
arrest,verb,B1,no,no,no
assign,verb,B1,no,no,no
assist,verb,B1,no,no,no
associate,verb,B1,no,no,no
assume,verb,B1,no,no,no
attach,verb,B1,yes,no,no
attain,verb,B1,no,no,no
attempt,verb,B1,no,no,no
attend,verb,B1,no,no,no
attract,verb,B1,no,no,no
award,verb,B1,no,no,no
babysit,verb,B1,no,no,no
back,verb,B1,no,no,no
bang,verb,B1,yes,no,no
bar,verb,B1,no,no,no
barbecue,verb,B1,no,no,no
base,verb,B1,no,no,no
bat,verb,B1,yes,no,yes
bathe,verb,B1,no,no,no
beat,verb,B1,yes,no,no
behave,verb,B1,no,no,no
bet,verb,B1,no,no,no
bill,verb,B1,no,no,no
bite,verb,B1,yes,no,no
bleed,verb,B1,no,no,no
blend,verb,B1,yes,no,no
bless,verb,B1,no,no,no
block,verb,B1,yes,no,no
board,verb,B1,yes,no,no
boast,verb,B1,no,no,no
bomb,verb,B1,no,no,no
book,verb,B1,yes,yes,no
bore,verb,B1,no,no,no
bounce,verb,B1,yes,no,no
bowl,verb,B1,yes,yes,no
branch,verb,B1,yes,yes,no
breed,verb,B1,no,no,no
bump,verb,B1,no,no,no
burn,verb,B1,no,no,no
burst,verb,B1,yes,no,no
bust,verb,B1,no,no,no
calculate,verb,B1,no,no,no
cancel,verb,B1,no,no,no
capture,verb,B1,no,no,no
care,verb,B1,no,no,no
categorize,verb,B1,no,no,no
characterize,verb,B1,no,no,no
charge,verb,B1,yes,no,no
cherish,verb,B1,no,no,no
choke,verb,B1,no,no,no
circle,verb,B1,no,yes,no
classify,verb,B1,no,no,no
clear,verb,B1,no,no,no
coast,verb,B1,yes,yes,no
combine,verb,B1,no,no,no
commit,verb,B1,no,no,no
compete,verb,B1,no,no,no
complete,verb,B1,no,no,no
complicate,verb,B1,no,no,no
compose,verb,B1,yes,no,no
conclude,verb,B1,no,no,no
confirm,verb,B1,no,no,no
congratulate,verb,B1,no,no,no
connect,verb,B1,yes,no,no
conquer,verb,B1,no,no,no
constitute,verb,B1,no,no,no
construct,verb,B1,no,no,no
consume,verb,B1,no,no,no
contain,verb,B1,no,no,no
contribute,verb,B1,no,no,no
control,verb,B1,no,no,no
convey,verb,B1,no,no,no
convince,verb,B1,no,no,no
cough,verb,B1,yes,no,no
counter,verb,B1,yes,yes,no
crash,verb,B1,no,no,no
cultivate,verb,B1,no,no,no
cycle,verb,B1,yes,yes,no
damage,verb,B1,no,no,no
dare,verb,B1,no,no,no
date,verb,B1,yes,no,no
deal,verb,B1,yes,no,no
declare,verb,B1,no,no,no
decrease,verb,B1,no,no,no
dedicate,verb,B1,no,no,no
defeat,verb,B1,no,no,no
defend,verb,B1,no,no,no
define,verb,B1,no,no,no
delay,verb,B1,no,no,no
delete,verb,B1,no,no,no
deliver,verb,B1,yes,no,no
demand,verb,B1,no,no,no
demonstrate,verb,B1,no,no,no
deny,verb,B1,no,no,no
depart,verb,B1,yes,no,no
deprive,verb,B1,no,no,no
derive,verb,B1,no,no,no
deserve,verb,B1,no,no,no
design,verb,B1,no,no,no
determine,verb,B1,no,no,no
devastate,verb,B1,no,no,no
dial,verb,B1,no,no,no
differ,verb,B1,no,no,no
dig,verb,B1,yes,no,no
direct,verb,B1,no,no,no
disable,verb,B1,no,no,no
disappoint,verb,B1,no,no,no
discourage,verb,B1,no,no,no
dislike,verb,B1,no,no,no
display,verb,B1,no,no,no
dissolve,verb,B1,yes,no,no
distinguish,verb,B1,no,no,no
distribute,verb,B1,no,no,no
dive,verb,B1,yes,no,no
drag,verb,B1,yes,no,no
drown,verb,B1,no,no,no
dump,verb,B1,yes,no,no
educate,verb,B1,no,no,no
eliminate,verb,B1,no,no,no
embarrass,verb,B1,no,no,no
emerge,verb,B1,no,no,no
emphasize,verb,B1,no,no,no
enable,verb,B1,no,no,no
enclose,verb,B1,no,no,no
endanger,verb,B1,no,no,no
endure,verb,B1,no,no,no
engage,verb,B1,no,no,no
enrich,verb,B1,no,no,no
ensure,verb,B1,no,no,no
entertain,verb,B1,no,no,no
escape,verb,B1,no,no,no
estimate,verb,B1,no,no,no
examine,verb,B1,no,no,no
exchange,verb,B1,no,no,no
excuse,verb,B1,no,no,no
exit,verb,B1,yes,no,no
expand,verb,B1,yes,no,no
experience,verb,B1,no,no,no
expose,verb,B1,no,no,no
express,verb,B1,no,no,no
extend,verb,B1,no,no,no
fade,verb,B1,no,no,no
fancy,verb,B1,no,no,no
fascinate,verb,B1,no,no,no
fasten,verb,B1,yes,no,no
fax,verb,B1,no,no,no
feed,verb,B1,yes,no,no
fetch,verb,B1,yes,no,no
fight,verb,B1,no,no,no
film,verb,B1,yes,no,no
finance,verb,B1,no,no,no
fish,verb,B1,yes,yes,no
fit,verb,B1,no,no,no
fix,verb,B1,yes,no,no
float,verb,B1,yes,no,no
flood,verb,B1,no,no,no
flow,verb,B1,no,no,no
flunk,verb,B1,no,no,no
fold,verb,B1,yes,no,no
fool,verb,B1,no,no,no
forgive,verb,B1,no,no,no
form,verb,B1,no,no,no
format,verb,B1,no,no,no
fry,verb,B1,yes,no,no
fund,verb,B1,no,no,no
furnish,verb,B1,no,no,no
gain,verb,B1,no,no,no
generate,verb,B1,no,no,no
glance,verb,B1,yes,no,no
govern,verb,B1,no,no,no
grab,verb,B1,yes,no,no
grant,verb,B1,no,no,no
grill,verb,B1,yes,no,no
group,verb,B1,no,no,no
guide,verb,B1,yes,yes,no
handle,verb,B1,yes,yes,no
hang,verb,B1,yes,no,no
heal,verb,B1,no,no,no
heat,verb,B1,yes,no,no
hesitate,verb,B1,no,no,no
highlight,verb,B1,yes,no,no
hire,verb,B1,no,no,no
hope,verb,B1,no,no,no
horrify,verb,B1,no,no,no
hunt,verb,B1,yes,no,no
ignore,verb,B1,no,no,no
illuminate,verb,B1,no,no,no
imitate,verb,B1,no,no,no
immigrate,verb,B1,no,no,no
impair,verb,B1,no,no,no
inform,verb,B1,no,no,no
inhale,verb,B1,yes,no,no
inject,verb,B1,no,no,no
inscribe,verb,B1,no,no,no
insist,verb,B1,no,no,no
inspire,verb,B1,yes,no,no
install,verb,B1,no,no,no
intend,verb,B1,no,no,no
interact,verb,B1,no,no,no
interest,verb,B1,no,no,no
interrupt,verb,B1,no,no,no
interview,verb,B1,no,no,no
invest,verb,B1,no,no,no
involve,verb,B1,no,no,no
iron,verb,B1,yes,yes,no
irritate,verb,B1,no,no,no
jog,verb,B1,yes,no,no
joke,verb,B1,no,no,no
kid,verb,B1,no,no,no
kiss,verb,B1,no,no,no
knit,verb,B1,yes,no,no
knock,verb,B1,yes,no,no
last,verb,B1,no,no,yes
launch,verb,B1,no,no,no
lay,verb,B1,no,no,no
lead,verb,B1,yes,no,no
leap,verb,B1,yes,no,no
lessen,verb,B1,no,no,no
liberate,verb,B1,no,no,no
lift,verb,B1,yes,no,no
light,verb,B1,no,no,no
limit,verb,B1,no,no,no
limp,verb,B1,yes,no,no
link,verb,B1,no,no,no
locate,verb,B1,no,no,no
lock,verb,B1,yes,yes,no
mail,verb,B1,yes,no,no
maintain,verb,B1,no,no,no
march,verb,B1,yes,no,no
market,verb,B1,no,no,no
mash,verb,B1,yes,no,no
match,verb,B1,yes,yes,no
measure,verb,B1,yes,no,no
meditate,verb,B1,no,no,no
melt,verb,B1,yes,no,no
memorize,verb,B1,no,no,no
mend,verb,B1,yes,no,no
mention,verb,B1,no,no,no
minimize,verb,B1,no,no,no
mislead,verb,B1,no,no,no
model,verb,B1,no,no,no
modify,verb,B1,no,no,no
monitor,verb,B1,yes,no,no
motivate,verb,B1,no,no,no
mourn,verb,B1,no,no,no
murder,verb,B1,no,no,no
name,verb,B1,no,no,no
narrate,verb,B1,no,no,no
negotiate,verb,B1,no,no,no
notice,verb,B1,no,no,no
nurse,verb,B1,yes,yes,no
observe,verb,B1,no,no,no
obtain,verb,B1,no,no,no
occasion,verb,B1,no,no,no
occupy,verb,B1,no,no,no
occur,verb,B1,no,no,no
oppress,verb,B1,no,no,no
outline,verb,B1,yes,no,no
outweigh,verb,B1,no,no,no
overcome,verb,B1,no,no,no
overwhelm,verb,B1,no,no,no
owe,verb,B1,no,no,no
own,verb,B1,no,no,no
paralyze,verb,B1,no,no,no
pardon,verb,B1,no,no,no
participate,verb,B1,no,no,no
pause,verb,B1,yes,no,no
permit,verb,B1,no,no,no
persuade,verb,B1,no,no,no
pin,verb,B1,yes,yes,no
place,verb,B1,no,no,no
plan,verb,B1,no,no,no
plant,verb,B1,yes,yes,no
please,verb,B1,no,no,no
possess,verb,B1,no,no,no
preserve,verb,B1,no,no,no
press,verb,B1,yes,no,yes
proceed,verb,B1,no,no,no
proclaim,verb,B1,no,no,no
program,verb,B1,no,no,no
promise,verb,B1,no,no,no
promote,verb,B1,no,no,no
propose,verb,B1,no,no,no
protect,verb,B1,no,no,no
prove,verb,B1,no,no,no
punish,verb,B1,no,no,no
purify,verb,B1,no,no,no
qualify,verb,B1,no,no,no
race,verb,B1,yes,yes,no
rap,verb,B1,yes,no,no
react,verb,B1,no,no,no
rearrange,verb,B1,yes,no,no
rebuild,verb,B1,no,no,no
recall,verb,B1,no,no,no
recite,verb,B1,no,no,no
reclaim,verb,B1,no,no,no
recognize,verb,B1,no,no,no
recommend,verb,B1,no,no,no
recover,verb,B1,no,no,no
reduce,verb,B1,no,no,no
refuse,verb,B1,no,no,no
regain,verb,B1,no,no,no
regard,verb,B1,no,no,no
register,verb,B1,no,no,no
reject,verb,B1,no,no,no
relate,verb,B1,no,no,no
release,verb,B1,no,no,no
rely,verb,B1,no,no,no
remark,verb,B1,no,no,no
remove,verb,B1,yes,no,no
renew,verb,B1,no,no,no
repay,verb,B1,no,no,no
reply,verb,B1,no,no,no
report,verb,B1,no,no,no
reproduce,verb,B1,no,no,no
request,verb,B1,no,no,no
require,verb,B1,no,no,no
rescue,verb,B1,yes,yes,no
resemble,verb,B1,no,no,no
reserve,verb,B1,no,no,no
resist,verb,B1,no,no,no
resolve,verb,B1,no,no,no
respect,verb,B1,no,no,no
respond,verb,B1,no,no,no
rest,verb,B1,yes,no,no
restore,verb,B1,no,no,no
restrict,verb,B1,no,no,no
result,verb,B1,no,no,no
retain,verb,B1,no,no,no
retell,verb,B1,no,no,no
reunify,verb,B1,no,no,no
revise,verb,B1,no,no,no
rewrite,verb,B1,no,no,no
rid,verb,B1,no,no,no
riddle,verb,B1,no,no,no
rise,verb,B1,no,no,no
room,verb,B1,no,no,no
rush,verb,B1,no,no,no
scare,verb,B1,no,no,no
scatter,verb,B1,yes,no,no
scold,verb,B1,no,no,no
score,verb,B1,yes,no,no
scream,verb,B1,yes,no,no
search,verb,B1,yes,no,no
seize,verb,B1,no,no,no
service,verb,B1,no,no,no
settle,verb,B1,no,no,no
shadow,verb,B1,no,no,no
shake,verb,B1,yes,no,no
shape,verb,B1,no,no,no
shave,verb,B1,yes,no,no
shift,verb,B1,no,no,no
ship,verb,B1,yes,yes,no
shiver,verb,B1,yes,no,no
shop,verb,B1,yes,yes,no
shout,verb,B1,yes,no,no
sign,verb,B1,yes,yes,no
simplify,verb,B1,no,no,no
sink,verb,B1,yes,yes,no
skate,verb,B1,yes,yes,no
ski,verb,B1,yes,yes,no
slip,verb,B1,yes,no,no
slow,verb,B1,no,no,no
smell,verb,B1,yes,no,no
smile,verb,B1,yes,yes,no
soil,verb,B1,yes,yes,no
soothe,verb,B1,no,no,no
specialize,verb,B1,no,no,no
speed,verb,B1,no,no,no
spoil,verb,B1,no,no,no
star,verb,B1,yes,yes,no
stare,verb,B1,yes,no,no
stem,verb,B1,yes,yes,no
stick,verb,B1,yes,yes,no
stir,verb,B1,yes,no,no
stream,verb,B1,no,no,no
strengthen,verb,B1,no,no,no
stretch,verb,B1,yes,no,no
strike,verb,B1,no,no,no
stumble,verb,B1,yes,no,no
stun,verb,B1,no,no,no
suffer,verb,B1,no,no,no
summarize,verb,B1,no,no,no
sunbathe,verb,B1,no,no,no
support,verb,B1,no,no,no
suppose,verb,B1,no,no,no
surprise,verb,B1,no,no,no
surround,verb,B1,no,no,no
swear,verb,B1,no,no,no
swell,verb,B1,no,no,no
switch,verb,B1,yes,no,yes
tape,verb,B1,yes,yes,no
taste,verb,B1,yes,no,no
tear,verb,B1,yes,no,no
tempt,verb,B1,no,no,no
tend,verb,B1,no,no,no
thirst,verb,B1,no,no,no
thump,verb,B1,yes,no,no
tick,verb,B1,no,no,no
tie,verb,B1,yes,yes,no
tighten,verb,B1,no,no,no
tire,verb,B1,yes,no,no
toss,verb,B1,yes,no,no
touch,verb,B1,yes,no,no
tour,verb,B1,no,no,no
transfer,verb,B1,no,no,no
transform,verb,B1,no,no,no
translate,verb,B1,no,no,no
tremble,verb,B1,yes,no,no
trouble,verb,B1,no,no,no
tumble,verb,B1,yes,no,no
twist,verb,B1,yes,no,no
type,verb,B1,yes,no,no
uncover,verb,B1,no,no,no
undergo,verb,B1,no,no,no
underline,verb,B1,yes,no,no
undo,verb,B1,no,no,no
undress,verb,B1,no,no,no
unfold,verb,B1,yes,no,no
unify,verb,B1,no,no,no
unite,verb,B1,no,no,no
unpack,verb,B1,yes,no,no
update,verb,B1,no,no,no
upload,verb,B1,no,no,no
vary,verb,B1,no,no,no
view,verb,B1,no,no,no
volunteer,verb,B1,no,no,no
vote,verb,B1,no,no,no
wake,verb,B1,yes,no,no
warm,verb,B1,no,no,no
warn,verb,B1,no,no,no
waste,verb,B1,yes,yes,no
wave,verb,B1,yes,yes,no
wax,verb,B1,yes,yes,no
wither,verb,B1,no,no,no
witness,verb,B1,no,no,no
wrap,verb,B1,yes,no,no
abolish,verb,B2,no,no,no
access,verb,B2,no,no,no
accumulate,verb,B2,no,no,no
ache,verb,B2,no,no,no
adore,verb,B2,no,no,no
adorn,verb,B2,no,no,no
agonize,verb,B2,no,no,no
aim,verb,B2,yes,no,no
alert,verb,B2,no,no,no
alter,verb,B2,no,no,no
alternate,verb,B2,no,no,no
amaze,verb,B2,no,no,no
amplify,verb,B2,no,no,no
amuse,verb,B2,no,no,no
animate,verb,B2,no,no,no
anticipate,verb,B2,no,no,no
appeal,verb,B2,no,no,no
approach,verb,B2,no,no,no
arouse,verb,B2,no,no,no
articulate,verb,B2,no,no,no
aspire,verb,B2,no,no,no
assemble,verb,B2,yes,no,no
assert,verb,B2,no,no,no
assess,verb,B2,no,no,no
assure,verb,B2,no,no,no
astonish,verb,B2,no,no,no
attribute,verb,B2,no,no,no
authorize,verb,B2,no,no,no
await,verb,B2,no,no,no
balance,verb,B2,yes,no,no
ban,verb,B2,no,no,no
bankrupt,verb,B2,no,no,no
bare,verb,B2,no,no,no
bargain,verb,B2,no,no,no
bark,verb,B2,yes,no,no
beautify,verb,B2,no,no,no
bellow,verb,B2,no,no,no
benefit,verb,B2,no,no,no
bestow,verb,B2,no,no,no
betray,verb,B2,no,no,no
bewilder,verb,B2,no,no,no
bid,verb,B2,no,no,no
bind,verb,B2,no,no,no
blast,verb,B2,no,no,no
blaze,verb,B2,no,no,no
blink,verb,B2,yes,no,no
blur,verb,B2,no,no,no
blush,verb,B2,yes,no,no
bolt,verb,B2,yes,yes,yes
bookmark,verb,B2,yes,yes,no
boost,verb,B2,no,no,no
bottle,verb,B2,no,no,no
bow,verb,B2,yes,no,no
brake,verb,B2,yes,yes,no
broadcast,verb,B2,no,no,no
broaden,verb,B2,no,no,no
browse,verb,B2,no,no,no
bully,verb,B2,no,no,no
burden,verb,B2,no,no,no
burgle,verb,B2,no,no,no
bustle,verb,B2,no,no,no
butcher,verb,B2,no,no,no
buzz,verb,B2,yes,no,no
carve,verb,B2,yes,no,no
cast,verb,B2,yes,yes,yes
cease,verb,B2,no,no,no
certify,verb,B2,no,no,no
challenge,verb,B2,no,no,no
chase,verb,B2,yes,no,no
cheat,verb,B2,no,no,no
chew,verb,B2,yes,no,no
chop,verb,B2,yes,no,no
clap,verb,B2,yes,no,no
clarify,verb,B2,no,no,no
clog,verb,B2,no,no,no
coach,verb,B2,yes,yes,no
coincide,verb,B2,no,no,no
collapse,verb,B2,no,no,no
comb,verb,B2,yes,yes,no
commemorate,verb,B2,no,no,no
comment,verb,B2,no,no,no
commute,verb,B2,no,no,no
compensate,verb,B2,no,no,no
compile,verb,B2,no,no,no
compromise,verb,B2,no,no,no
compute,verb,B2,no,no,no
conceal,verb,B2,no,no,no
concede,verb,B2,no,no,no
