word,pos,CEFR-J level,exact asset exists,already in curated dictionary,already found by open-world discovery
moon,noun,A1,yes,yes,yes
morning,noun,A1,yes,no,no
mother,noun,A1,yes,yes,no
mountain,noun,A1,yes,yes,no
mouse,noun,A1,yes,yes,no
mouth,noun,A1,yes,yes,no
move,noun,A1,no,no,no
movie,noun,A1,no,no,no
mr,noun,A1,no,no,no
mrs,noun,A1,no,no,no
mum,noun,A1,no,no,no
music,noun,A1,yes,yes,no
musician,noun,A1,no,no,no
name,noun,A1,no,no,no
nationality,noun,A1,no,no,no
neck,noun,A1,no,no,no
neighbor,noun,A1,no,no,no
news,noun,A1,no,no,no
newspaper,noun,A1,yes,yes,no
night,noun,A1,yes,no,no
noise,noun,A1,no,no,no
nose,noun,A1,yes,yes,no
note,noun,A1,no,no,no
notebook,noun,A1,yes,yes,no
november,noun,A1,no,no,no
number,noun,A1,no,no,no
nurse,noun,A1,yes,yes,no
october,noun,A1,no,no,no
office,noun,A1,yes,yes,no
officer,noun,A1,yes,no,no
olympics,noun,A1,no,no,no
opera,noun,A1,no,no,no
orange,noun,A1,yes,yes,no
order,noun,A1,yes,no,no
owner,noun,A1,no,no,no
page,noun,A1,yes,yes,no
paint,noun,A1,yes,yes,no
painting,noun,A1,yes,yes,no
pair,noun,A1,yes,no,no
palace,noun,A1,yes,yes,no
pants,noun,A1,yes,yes,no
paper,noun,A1,yes,yes,no
paragraph,noun,A1,no,no,no
pardon,noun,A1,no,no,no
parent,noun,A1,no,no,no
park,noun,A1,yes,yes,no
partner,noun,A1,no,no,no
party,noun,A1,yes,yes,no
pay,noun,A1,yes,no,no
peace,noun,A1,no,no,no
pen,noun,A1,yes,yes,no
pencil,noun,A1,yes,yes,no
people,noun,A1,no,no,no
period,noun,A1,no,no,no
person,noun,A1,no,no,no
pet,noun,A1,yes,yes,no
phone,noun,A1,yes,yes,no
photo,noun,A1,yes,yes,no
piano,noun,A1,yes,yes,no
picnic,noun,A1,yes,yes,no
picture,noun,A1,yes,yes,no
piece,noun,A1,no,no,no
pig,noun,A1,yes,yes,yes
pizza,noun,A1,yes,yes,no
place,noun,A1,no,no,no
plan,noun,A1,no,no,no
plane,noun,A1,yes,yes,yes
play,noun,A1,no,no,no
player,noun,A1,no,no,no
pleasure,noun,A1,no,no,no
pocket,noun,A1,yes,yes,yes
poem,noun,A1,no,no,no
point,noun,A1,yes,no,no
pollution,noun,A1,yes,yes,no
pool,noun,A1,yes,yes,no
pop,noun,A1,yes,no,no
post,noun,A1,no,no,no
poster,noun,A1,no,no,no
potato,noun,A1,yes,yes,no
practice,noun,A1,yes,no,no
present,noun,A1,yes,yes,no
price,noun,A1,no,no,no
prince,noun,A1,no,no,no
princess,noun,A1,no,no,no
problem,noun,A1,no,no,no
program,noun,A1,no,no,no
purple,noun,A1,no,no,no
quarter,noun,A1,no,no,no
question,noun,A1,yes,no,no
rabbit,noun,A1,yes,yes,no
radio,noun,A1,yes,yes,yes
rain,noun,A1,yes,yes,no
rat,noun,A1,yes,yes,no
reader,noun,A1,no,no,no
reading,noun,A1,no,no,no
reason,noun,A1,no,no,no
reporter,noun,A1,no,no,no
restaurant,noun,A1,yes,yes,no
result,noun,A1,no,no,no
review,noun,A1,no,no,no
ribbon,noun,A1,yes,yes,yes
rice,noun,A1,yes,yes,no
ride,noun,A1,yes,no,no
river,noun,A1,yes,yes,no
role,noun,A1,no,no,no
room,noun,A1,no,no,no
rose,noun,A1,yes,yes,no
row,noun,A1,yes,no,no
rule,noun,A1,no,no,no
ruler,noun,A1,yes,yes,no
run,noun,A1,yes,no,no
sailor,noun,A1,no,no,no
salad,noun,A1,yes,yes,no
sale,noun,A1,no,no,no
sandwich,noun,A1,yes,yes,no
saturday,noun,A1,no,no,no
saw,noun,A1,yes,yes,yes
school,noun,A1,yes,yes,no
science,noun,A1,yes,no,no
scientist,noun,A1,yes,yes,no
sea,noun,A1,no,no,no
seat,noun,A1,yes,yes,no
section,noun,A1,no,no,no
self,noun,A1,no,no,no
sentence,noun,A1,no,no,no
september,noun,A1,no,no,no
shake,noun,A1,yes,no,no
sheep,noun,A1,yes,yes,yes
shelf,noun,A1,yes,yes,no
ship,noun,A1,yes,yes,no
shirt,noun,A1,yes,yes,no
shoe,noun,A1,yes,yes,no
shop,noun,A1,yes,yes,no
shopping,noun,A1,no,no,no
shoulder,noun,A1,yes,no,yes
shower,noun,A1,yes,yes,no
side,noun,A1,no,no,no
sight,noun,A1,no,no,no
sign,noun,A1,yes,yes,no
singer,noun,A1,yes,no,no
sir,noun,A1,no,no,no
sister,noun,A1,yes,yes,no
site,noun,A1,no,no,no
size,noun,A1,no,no,no
skill,noun,A1,no,no,no
skirt,noun,A1,yes,yes,yes
sky,noun,A1,yes,yes,no
smell,noun,A1,yes,no,no
smile,noun,A1,yes,yes,no
smith,noun,A1,no,no,no
smoke,noun,A1,yes,yes,no
smoking,noun,A1,no,no,no
snake,noun,A1,yes,yes,yes
snow,noun,A1,yes,yes,no
soccer,noun,A1,yes,yes,no
sofa,noun,A1,yes,yes,no
son,noun,A1,no,no,no
song,noun,A1,yes,yes,no
soup,noun,A1,yes,yes,no
speech,noun,A1,no,no,no
spell,noun,A1,no,no,no
sport,noun,A1,no,no,no
spot,noun,A1,yes,no,no
spring,noun,A1,yes,yes,no
spy,noun,A1,no,no,no
stage,noun,A1,yes,yes,no
stand,noun,A1,yes,no,no
star,noun,A1,yes,yes,no
start,noun,A1,yes,no,no
station,noun,A1,yes,yes,no
stone,noun,A1,no,no,no
stop,noun,A1,yes,no,no
store,noun,A1,yes,no,no
story,noun,A1,yes,yes,no
street,noun,A1,yes,yes,no
student,noun,A1,yes,yes,no
subject,noun,A1,no,no,no
subway,noun,A1,yes,yes,no
sugar,noun,A1,yes,yes,no
suggestion,noun,A1,no,no,no
sum,noun,A1,no,no,no
summer,noun,A1,no,no,no
sun,noun,A1,yes,yes,no
sunday,noun,A1,no,no,no
sunshine,noun,A1,no,no,no
supermarket,noun,A1,yes,yes,no
surf,noun,A1,yes,no,no
surprise,noun,A1,no,no,no
survey,noun,A1,no,no,no
swim,noun,A1,yes,no,no
swimming,noun,A1,no,no,no
swimming pool,noun,A1,yes,no,no
t-shirt,noun,A1,yes,yes,no
table,noun,A1,yes,yes,no
taxi,noun,A1,yes,yes,no
tea,noun,A1,yes,yes,no
teacher,noun,A1,yes,yes,no
team,noun,A1,yes,yes,no
technology,noun,A1,no,no,no
telephone,noun,A1,yes,yes,no
television,noun,A1,yes,yes,no
temple,noun,A1,no,no,no
tennis,noun,A1,yes,yes,no
test,noun,A1,no,no,no
thanks,noun,A1,no,no,no
theater,noun,A1,yes,no,no
thing,noun,A1,no,no,no
throw,noun,A1,yes,no,no
thursday,noun,A1,no,no,no
ticket,noun,A1,yes,yes,no
tiger,noun,A1,yes,yes,no
time,noun,A1,no,no,no
today,noun,A1,no,no,no
toilet,noun,A1,yes,yes,no
tomato,noun,A1,yes,yes,no
tomorrow,noun,A1,no,no,no
tool,noun,A1,no,no,no
tooth,noun,A1,yes,yes,no
top,noun,A1,no,no,no
topic,noun,A1,no,no,no
touch,noun,A1,yes,no,no
towel,noun,A1,yes,yes,no
tower,noun,A1,yes,yes,no
town,noun,A1,no,no,no
toy,noun,A1,yes,yes,no
train,noun,A1,yes,yes,no
tree,noun,A1,yes,yes,no
trip,noun,A1,yes,no,no
trousers,noun,A1,yes,no,no
truck,noun,A1,yes,yes,no
try,noun,A1,no,no,no
tube,noun,A1,no,no,no
tuesday,noun,A1,no,no,no
turkey,noun,A1,yes,yes,no
turn,noun,A1,yes,no,no
tv,noun,A1,no,no,no
type,noun,A1,yes,no,no
umbrella,noun,A1,yes,yes,yes
uncle,noun,A1,yes,yes,no
underline,noun,A1,yes,no,no
vacation,noun,A1,no,no,no
vase,noun,A1,yes,yes,no
vegetable,noun,A1,yes,yes,no
video,noun,A1,no,no,no
visit,noun,A1,yes,no,no
volleyball,noun,A1,yes,no,no
vote,noun,A1,no,no,no
waiter,noun,A1,yes,no,no
waitress,noun,A1,yes,no,no
wake,noun,A1,yes,no,no
walk,noun,A1,yes,no,no
wall,noun,A1,yes,yes,no
war,noun,A1,no,no,no
wash,noun,A1,yes,no,no
watch,noun,A1,yes,yes,no
water,noun,A1,yes,yes,no
way,noun,A1,no,no,no
weather,noun,A1,no,no,no
wednesday,noun,A1,no,no,no
week,noun,A1,no,no,no
weekend,noun,A1,no,no,no
wheel,noun,A1,yes,yes,no
white,noun,A1,no,no,no
wife,noun,A1,no,no,no
wind,noun,A1,yes,no,no
window,noun,A1,yes,yes,no
winter,noun,A1,yes,yes,no
wish,noun,A1,yes,yes,no
woman,noun,A1,no,no,no
word,noun,A1,no,no,no
work,noun,A1,no,no,no
worker,noun,A1,no,no,no
world,noun,A1,no,no,no
worry,noun,A1,no,no,no
writer,noun,A1,no,no,no
yard,noun,A1,yes,yes,no
year,noun,A1,no,no,no
yellow,noun,A1,no,no,no
yogurt,noun,A1,yes,yes,yes
zoo,noun,A1,yes,yes,no
ability,noun,A2,no,no,no
accident,noun,A2,no,no,no
account,noun,A2,no,no,no
act,noun,A2,yes,no,no
addition,noun,A2,no,no,no
adjective,noun,A2,no,no,no
adult,noun,A2,no,no,no
advantage,noun,A2,no,no,no
adventure,noun,A2,no,no,no
advertisement,noun,A2,no,no,no
advertising,noun,A2,no,no,no
advice,noun,A2,no,no,no
affair,noun,A2,no,no,no
agency,noun,A2,no,no,no
agent,noun,A2,no,no,no
air,noun,A2,no,no,no
aisle,noun,A2,yes,no,yes
alarm,noun,A2,yes,yes,no
alarm clock,noun,A2,yes,yes,no
ambition,noun,A2,no,no,no
amusement,noun,A2,no,no,no
ancestor,noun,A2,no,no,no
angel,noun,A2,no,no,no
ankle,noun,A2,yes,yes,yes
anniversary,noun,A2,no,no,no
apartment,noun,A2,yes,yes,no
appearance,noun,A2,no,no,no
appointment,noun,A2,yes,no,no
architecture,noun,A2,no,no,no
area,noun,A2,no,no,no
argument,noun,A2,no,no,no
armchair,noun,A2,yes,no,no
association,noun,A2,no,no,no
astronaut,noun,A2,yes,yes,no
athlete,noun,A2,no,no,no
atom,noun,A2,no,no,yes
attack,noun,A2,no,no,no
attempt,noun,A2,no,no,no
attention,noun,A2,no,no,no
attitude,noun,A2,no,no,no
audience,noun,A2,no,no,no
author,noun,A2,no,no,no
average,noun,A2,no,no,no
award,noun,A2,no,no,no
background,noun,A2,no,no,no
badminton,noun,A2,no,no,no
balcony,noun,A2,yes,yes,yes
balloon,noun,A2,yes,yes,no
banking,noun,A2,no,no,no
barbecue,noun,A2,no,no,no
barber,noun,A2,no,no,no
bargain,noun,A2,no,no,no
base,noun,A2,no,no,no
basket,noun,A2,yes,no,no
batch,noun,A2,no,no,no
battery,noun,A2,yes,yes,yes
bay,noun,A2,no,no,no
beauty,noun,A2,no,no,no
beer,noun,A2,no,no,no
beginner,noun,A2,no,no,no
beginning,noun,A2,no,no,no
behavior,noun,A2,no,no,no
being,noun,A2,no,no,no
belly,noun,A2,no,no,no
belt,noun,A2,yes,yes,yes
bench,noun,A2,yes,yes,no
bill,noun,A2,no,no,no
bit,noun,A2,no,no,yes
bite,noun,A2,yes,no,no
blackboard,noun,A2,yes,no,no
blanket,noun,A2,yes,yes,no
blood,noun,A2,no,no,no
bloom,noun,A2,no,no,no
blow,noun,A2,yes,no,no
board game,noun,A2,yes,yes,no
bonus,noun,A2,no,no,no
bookcase,noun,A2,no,no,no
bookshelf,noun,A2,yes,no,no
bookshop,noun,A2,no,no,no
boss,noun,A2,no,no,no
bra,noun,A2,no,no,no
brainstorm,noun,A2,no,no,no
brake,noun,A2,yes,yes,no
branch,noun,A2,yes,yes,no
brand,noun,A2,no,no,no
break,noun,A2,yes,no,no
breeze,noun,A2,yes,yes,no
bride,noun,A2,no,no,no
brown,noun,A2,no,no,no
budget,noun,A2,no,no,no
bug,noun,A2,no,no,no
bulb,noun,A2,yes,yes,yes
burn,noun,A2,no,no,no
bus station,noun,A2,no,no,no
bus stop,noun,A2,yes,no,no
bush,noun,A2,yes,yes,no
businessman,noun,A2,no,no,no
businesswoman,noun,A2,no,no,no
cab,noun,A2,no,no,no
cafeteria,noun,A2,yes,no,no
calendar,noun,A2,yes,yes,no
camping,noun,A2,yes,no,no
campus,noun,A2,no,no,no
can,noun,A2,no,no,no
capital,noun,A2,no,no,no
capital letter,noun,A2,no,no,no
captain,noun,A2,yes,yes,no
car park,noun,A2,no,no,no
carrot,noun,A2,yes,yes,no
cash,noun,A2,yes,no,no
cassette,noun,A2,no,no,no
castle,noun,A2,yes,yes,no
cent,noun,A2,no,no,no
center,noun,A2,no,no,no
centimeter,noun,A2,no,no,no
century,noun,A2,no,no,no
cereal,noun,A2,yes,yes,no
chain,noun,A2,yes,yes,no
chairman,noun,A2,no,no,no
challenge,noun,A2,no,no,no
champagne,noun,A2,yes,no,no
championship,noun,A2,no,no,no
chance,noun,A2,no,no,no
chapter,noun,A2,no,no,no
chart,noun,A2,no,no,no
cheek,noun,A2,yes,yes,yes
chef,noun,A2,yes,yes,no
cheque,noun,A2,yes,no,no
chess,noun,A2,yes,yes,no
chest,noun,A2,yes,yes,yes
childhood,noun,A2,no,no,no
chili,noun,A2,yes,no,no
chimpanzee,noun,A2,yes,no,no
chin,noun,A2,yes,no,yes
chirp,noun,A2,yes,no,no
choice,noun,A2,no,no,no
cigarette,noun,A2,no,no,no
citizen,noun,A2,no,no,no
classical music,noun,A2,no,no,no
cleaner,noun,A2,no,no,no
clerk,noun,A2,no,no,no
climbing,noun,A2,no,no,no
clown,noun,A2,yes,yes,no
clue,noun,A2,no,no,no
coast,noun,A2,yes,yes,no
coin,noun,A2,yes,yes,no
cola,noun,A2,no,no,no
column,noun,A2,no,no,no
comb,noun,A2,yes,yes,no
comic,noun,A2,yes,no,no
commitment,noun,A2,no,no,no
committee,noun,A2,no,no,no
communication,noun,A2,no,no,no
company,noun,A2,no,no,no
comparative,noun,A2,no,no,no
competition,noun,A2,no,no,no
complaint,noun,A2,no,no,no
composer,noun,A2,no,no,no
concern,noun,A2,no,no,no
condition,noun,A2,no,no,no
consequence,noun,A2,no,no,no
contact,noun,A2,no,no,no
container,noun,A2,yes,yes,yes
context,noun,A2,no,no,no
continent,noun,A2,no,no,no
contrast,noun,A2,no,no,no
control,noun,A2,no,no,no
convenience,noun,A2,no,no,no
cooker,noun,A2,no,no,no
cooking,noun,A2,no,no,no
cooler,noun,A2,yes,yes,no
cost,noun,A2,no,no,no
country,noun,A2,no,no,no
countryside,noun,A2,no,no,no
couple,noun,A2,no,no,no
court,noun,A2,yes,yes,no
creativity,noun,A2,no,no,no
creature,noun,A2,no,no,no
credit,noun,A2,no,no,no
cricket,noun,A2,yes,yes,no
crime,noun,A2,no,no,no
crisp,noun,A2,no,no,no
cross,noun,A2,yes,no,no
crowd,noun,A2,no,no,no
crown,noun,A2,yes,yes,no
cruise,noun,A2,no,no,no
cupboard,noun,A2,yes,yes,no
curry,noun,A2,yes,no,no
curse,noun,A2,no,no,no
custom,noun,A2,no,no,no
customer,noun,A2,yes,no,no
cycling,noun,A2,yes,no,no
dam,noun,A2,yes,yes,no
dancer,noun,A2,no,no,no
danger,noun,A2,no,no,no
daylight,noun,A2,no,no,no
deal,noun,A2,yes,no,no
death,noun,A2,no,no,no
debate,noun,A2,no,no,no
degree,noun,A2,no,no,no
delay,noun,A2,no,no,no
dentist,noun,A2,yes,yes,no
department store,noun,A2,no,no,no
description,noun,A2,no,no,no
desert,noun,A2,yes,no,no
dessert,noun,A2,yes,yes,no
detail,noun,A2,no,no,no
diamond,noun,A2,yes,yes,no
diary,noun,A2,yes,yes,no
diet,noun,A2,no,no,no
difficulty,noun,A2,no,no,no
digital camera,noun,A2,no,no,no
dinosaur,noun,A2,yes,yes,no
direction,noun,A2,no,no,no
director,noun,A2,no,no,no
disadvantage,noun,A2,no,no,no
disco,noun,A2,no,no,no
discussion,noun,A2,no,no,no
dislike,noun,A2,no,no,no
display,noun,A2,no,no,no
doubt,noun,A2,no,no,no
draw,noun,A2,yes,no,no
drawer,noun,A2,yes,yes,no
drawing,noun,A2,no,no,no
drill,noun,A2,yes,yes,yes
driver's license,noun,A2,no,no,no
drop,noun,A2,yes,no,no
drug,noun,A2,no,no,no
drugstore,noun,A2,no,no,no
duck,noun,A2,yes,yes,no
dust,noun,A2,yes,no,no
earring,noun,A2,yes,yes,no
earth,noun,A2,yes,yes,no
earthquake,noun,A2,no,no,no
east,noun,A2,no,no,no
